Категория,Услуга,Ссылка,Результат оказания услуги
Социальное обеспечение,Оформление документов на оказание специальных социальных услуг в медико-социальных учреждениях (организациях),https://egov.kz/cms/ru/online-services/for_citizen/pass170_mtszn,"Результат оказания услуги
Уведомление об оформлении документов в произвольной форме с указанием срока оказания государственной услуги, или мотивированный ответ об отказе в оказании государственной услуги.
При обращении на портал результат оказания государственной услуги направляется услугополучателю в ""личный кабинет"" в форме электронного документа, удостоверенного ЭЦП должностного лица услугодателя."
Социальное обеспечение,Оформление документов на оказание специальных социальных услуг в условиях ухода на дому,https://egov.kz/cms/ru/online-services/for_citizen/pass171_mtszn,"Результат оказания услуги
Уведомление об оформлении документов в произвольной форме с указанием срока оказания государственной услуги, или мотивированный ответ об отказе в оказании государственной услуги.
При обращении на портал результат оказания государственной услуги направляется услугополучателю в ""личный кабинет"" в форме электронного документа, удостоверенного ЭЦП должностного лица услугодателя."
Социальное обеспечение,Получение справки о пенсионных отчислениях,https://egov.kz/cms/ru/online-services/for_citizen/pass160_mtszn,"Результат оказания услуги
Выдача информации о поступлении и движении средств вкладчика единого накопительного пенсионного фонда."
Социальное обеспечение,Получение справки о подтверждении инвалидности,https://egov.kz/cms/ru/online-services/for_citizen/e_016,"Результат оказания услуги
Получение справки о подтверждении инвалидности в pdf-формате."
Социальное обеспечение,Получения пособия по потери кормильца,https://egov.kz/cms/ru/online-services/for_citizen/pass00703005_mtszn,"Результат оказания услуги
Уведомление о назначении (об отказе в назначении) пособий.
На портале уведомление о назначении государственного социального пособия по случаю потери кормильца, а также информация о назначении государственного социального пособия по случаю потери кормильца направляется в ""личный кабинет"" услугополучателя в форме электронного документа, удостоверенного электронной цифровой подписью уполномоченного лица услугодателя.
Государственная корпорация информирует услугополучателя о принятом решении посредством передачи sms-оповещения на мобильный телефон услугополучателя.
При оказании услуги через проактивную услугу результат оказания услуги предоставляется посредством sms-оповещения на мобильный телефон услугополучателя."
Социальное обеспечение,Пособие многодетным,https://egov.kz/cms/ru/online-services/for_citizen/mtczn_00402014,"Результат оказания услуги
Уве­дом­ле­ние в «лич­ный ка­би­нет» или sms-опо­ве­ще­ния на мо­биль­ный те­ле­фон услу­го­по­лу­ча­те­ля о на­зна­че­нии по­со­бия ли­бо (или) мо­ти­ви­ро­ван­ный от­каз в ока­за­нии го­су­дар­ствен­ной услу­ги."
Социальное обеспечение,Пособие по потере кормильца,https://egov.kz/cms/ru/online-services/for_citizen/pass196_mtszn,"Результат оказания услуги
Уведомление о назначении (отказе в назначении) социальной выплаты по случаю потери кормильца.
На портале: электронное уведомление о назначении (отказе в назначении) социальной выплаты по случаю потери кормильца, удостоверенное ЭЦП руководителя филиала Фонда, направленное в ""личный кабинет"" заявителя на портал.
При оказании через проактивную услугу: Sms-оповещение на мобильный телефон заявителя."
Социальное обеспечение,"Предоставление мер господдержки ""с дипломом в село""",https://egov.kz/cms/ru/online-services/for_citizen/pass180_msh,"Результат оказания услуги
Уведомление услугополучателя на Портале о необходимости заключения Соглашения о предоставлении мер социальной поддержки специалистам в области здравоохранения, образования, социального обеспечения, культуры, спорта и агропромышленного комплекса, государственным служащим аппаратов акимов сел, поселков, сельских округов, прибывшим для работы и проживания в сельские населенные пункты на Портале, о постановке на учет и очередность или мотивированный отказ в предоставлении мер социальной поддержки."
Социальное обеспечение,Прием документов в ДЮСШ,https://egov.kz/cms/ru/online-services/for_citizen/pass73-4_mks,"Результат оказания услуги
Копия заявления с отметкой о принятии с указанием даты и фамилии сотрудника канцелярии услугодателя, мотивированный ответ об отказе в оказании государственной услуги.
На портале – уведомление о принятии документов услугополучателю либо мотивированный ответ об отказе в оказании государственной услуги, удостоверенное электронной цифровой подписью уполномоченного лица услугодателя."
Социальное обеспечение,Сервис получения информации о назначении пособий и пенсионных выплат,https://egov.kz/cms/ru/online-services/for_citizen/P605_mtszn,"Результат оказания услуги
Информация о назначении пособий и пенсионных выплат."
Социальное обеспечение,Установление инвалидности,https://egov.kz/cms/ru/online-services/for_citizen/pass159_mtszn,"Результат оказания услуги
Электронная через портал, удостоверенные ЭЦП уполномоченного лица услугодателя, направляются в ""личный кабинет"" услугополучателя:
Справка об инвалидности – при установлении услугополучателю инвалидности.
Выписка из социальной части индивидуальной программы абилитации и реабилитации лица с инвалидностью (далее - ИПР) – при разработке услугополучателю социальной части ИПР. Для лица с инвалидностью вследствие трудового увечья и/или профессионального заболевания – социальная часть ИПР.
Выписка из профессиональной части индивидуальной программы абилитации и реабилитации лица с инвалидностью – при разработке услугополучателю профессиональной части ИПР. Для лиц с инвалидностью вследствие трудового увечья и/или профессионального заболевания – профессиональная часть ИПР.
Справка о степени утраты общей трудоспособности – при установлении услугополучателю степени утраты общей трудоспособности.
Справка о степени утраты профессиональной трудоспособности, выписка из справки о степени утраты профессиональной трудоспособности и акта медико-социальной экспертизы – при установлении услугополучателю степени утраты профессиональной трудоспособности.
Заключение о нуждаемости пострадавшего работника в дополнительных видах помощи и уходе – при определении нуждаемости пострадавшего работника в дополнительных видах помощи и уходе.
Извещение о не установлении инвалидности – не признанному лицом с инвалидностью при очередном переосвидетельствовании.
Извещение об экспертном заключении медико-социальной экспертизы – при непризнании лицом с инвалидностью при первичном освидетельствовании.
Бумажная у услугодателя по требованию услугополучателя или его представителя."
"Гражданство, миграция и иммиграция",Включение в региональную квоту приема кандасов,https://egov.kz/cms/ru/online-services/for_citizen/pass179-1_mtszn,"Результат оказания услуги
Решение о включении в региональную квоту приема кандасов либо об отказе."
"Гражданство, миграция и иммиграция",Включение в региональную квоту приема переселенцев,https://egov.kz/cms/ru/online-services/for_citizen/pass179_mtszn,"Результат оказания услуги
Решение о включении в региональную квоту приема переселенцев либо об отказе."
"Гражданство, миграция и иммиграция",Временная регистрация по месту временного пребывания (проживания) граждан Республики Казахстан,https://egov.kz/cms/ru/online-services/for_citizen/reg_grazhdan,"Результат оказания услуги
Внесение сведений в информационную систему ""Регистрационный пункт ""Документирование и регистрация населения"" (ИС РП ДРН) об адресе регистрации по месту постоянного жительства, а при временной регистрации – об адресе временного пребывания.
При обращении на портал результат оказания государственной услуги направляется в ""личный кабинет"" услугополучателя в виде уведомления о регистрации по месту жительства."
"Гражданство, миграция и иммиграция",Выдача архивных справок,https://egov.kz/cms/ru/online-services/for_citizen/pass462_mki,"Результат оказания услуги
Архивная справка, копия архивного документа или архивная выписка по подтверждению сведений социально-правового характера, а также ответы об отсутствии на государственном хранении у услугодателя запрашиваемых документов (сведений) на государственном хранении, направлении запроса по принадлежности в другой государственный или ведомственный архив либо мотивированный ответ об отказе в оказании государственной услуги."
"Гражданство, миграция и иммиграция","Выдача, восстановление или продление на территории Республики Казахстан иностранцам и лицам без гражданства виз на право выезда из Республики Казахстан и въезда в Республику Казахстан",https://egov.kz/cms/ru/online-services/for_citizen/pass597_mvd,"Результат оказания услуги
Через услугодателя виза на въезд/выезд в/из Республики Казахстан либо ответ об отказе в оказании государственной услуге.
На портале виза в форме электронного документа."
"Гражданство, миграция и иммиграция",Выдача или продление справки иностранцу или лицу без гражданства о соответствии квалификации для самостоятельного трудоустройства,https://egov.kz/cms/ru/online-services/for_citizen/mz_166_1,"Результат оказания услуги
Справка о соответствии квалификации для самостоятельного трудоустройства, либо мотивированный ответ об отказе в оказании государственной услуги."
"Гражданство, миграция и иммиграция",Выдача/продление виз,https://egov.kz/cms/ru/online-services/for_citizen/pass540_mid,"Результат оказания услуги
Виза на въезд в Республику Казахстан либо ответ об отказе в оказании государственной услуги."
"Гражданство, миграция и иммиграция","Выдача, продление и отзыв разрешения трудовому иммигранту",https://egov.kz/cms/ru/online-services/for_citizen/38-1_mvd,"Результат оказания услуги
Выдача и продление разрешения трудовому иммигранту либо мотивированный отказ в оказании государственной услуги.
Форма предоставления результата государственной услуги: электронная и (или) бумажная."
"Гражданство, миграция и иммиграция",Государственная регистрация смерти за рубежом,https://egov.kz/cms/ru/online-services/for_citizen/pass33-8_mid,"Результат оказания услуги
Свидетельство о смерти либо мотивированный ответ об отказе в оказании государственной услуги."
"Гражданство, миграция и иммиграция","Представление сведений, подтверждающих регистрацию по постоянному месту жительства в населенном пункте приграничной территории",https://egov.kz/cms/ru/online-services/for_citizen/pass4005_mvd,"Результат оказания услуги
Выдача сведений, подтверждающих регистрацию по постоянному месту жительства в населенном пункте приграничной территории в электронном виде."
"Гражданство, миграция и иммиграция",Присвоение или продление статуса кандаса,https://egov.kz/cms/ru/online-services/for_citizen/2F30_mzsr,"Результат оказания услуги
При присвоении статуса кандаса – выдача удостоверения кандаса, в случае продления статуса кандаса – решение местного исполнительного органа.
Государственная корпорация обеспечивает хранение документов, в течение 1 года в информационной системе Государственной корпорации.
По запросу заявителя работник Государственной корпорации выдает ранее полученное от местного исполнительного органа удостоверение кандаса, выгрузив из информационной системы Государственной корпорации."
"Гражданство, миграция и иммиграция","Проверка наличия запрета на выезд за рубеж по реестру должников, которым ограничен выезд за рубеж и реестру должников по исполнительным производствам",https://egov.kz/cms/ru/online-services/for_citizen/services_sr14,"Результат оказания услуги
Информация о наличии разрешения на выезд за рубеж на запрашиваемый ИИН;
Информация о наличии запрета на выезд за рубеж на запрашиваемый ИИН;
Информация о наличии задолженности на запрашиваемый БИН."
"Гражданство, миграция и иммиграция",Прописка по месту жительства,https://egov.kz/cms/ru/online-services/for_citizen/pass001_mvd,"Результат оказания услуги
Внесение сведений в информационную систему ""Регистрационный пункт ""Документирование и регистрация населения"" (ИС РП ДРН) об адресе регистрации по месту постоянного жительства, а при временной регистрации – об адресе временного пребывания.
При обращении на портал результат оказания государственной услуги направляется в ""личный кабинет"" услугополучателя в виде уведомления о регистрации по месту жительства."
"Гражданство, миграция и иммиграция",Разрешение иностранцам на временное проживание в РК,https://egov.kz/cms/ru/online-services/for_citizen/00203002_mvd,"Результат оказания услуги
Выдача разрешения на временное проживание в Республике Казахстан либо мотивированный ответ об отказе в оказании государственной услуги."
"Гражданство, миграция и иммиграция",Регистрация детей от 14 до 16 лет по месту жительства,https://egov.kz/cms/ru/online-services/for_citizen/pass001_reg_deti,"Результат оказания услуги
Внесение сведений в информационную систему ""Регистрационный пункт ""Документирование и регистрация населения"" (ИС РП ДРН) об адресе регистрации по месту постоянного жительства, а при временной регистрации – об адресе временного пребывания.
При обращении на портал результат оказания государственной услуги направляется в ""личный кабинет"" услугополучателя в виде уведомления о регистрации по месту жительства."
"Гражданство, миграция и иммиграция",Снятие с прописки/выписка,https://egov.kz/cms/ru/online-services/for_citizen/002pass_mvd,"Результат оказания услуги
Снятие с регистрации путем внесения сведений в информационную систему ""Регистрационный пункт ""Документирование и регистрация населения"" (ИС РП ДРН).
При обращении на портал результат оказания государственной услуги направляется в ""личный кабинет"" услугополучателя в виде уведомления о снятии с регистрации по месту жительства лиц, не проживающих по его адресу.
При снятии с регистрации в город Байконыр услугополучателю выдается адресный листок убытия."
"Гражданство, миграция и иммиграция","Снятие с учета граждан Республики Казахстан, постоянно и временно проживающих за пределами Республики Казахстан",https://egov.kz/cms/ru/online-services/for_citizen/pass3310_mid,"Результат оказания услуги
1. При оказании государственной услуги загранучреждениями - отметка о снятии с учета граждан Республики Казахстан в бумажном/электронном виде либо мотивированный ответ об отказе в оказании государственной услуги.
2. При оказании государственной услуги через веб-портал ""электронного правительства"" - уведомление о снятии с учета граждан Республики Казахстан в электронном виде либо мотивированный ответ об отказе в оказании государственной услуги.
3. При оказании государственной услуги Министерством - документ, подтверждающий снятие с консульского учета, либо мотивированный ответ об отказе в оказании государственной услуги."
"Гражданство, миграция и иммиграция",Учет граждан РК за рубежом,https://egov.kz/cms/ru/online-services/for_citizen/pass33-9_mid,"Результат оказания услуги
Вкладыш к паспорту гражданина Республики Казахстан, постоянно и временно проживающих за пределами Республики Казахстан или уведомление о постановке на временный учет либо мотивированный ответ об отказе в оказании государственной услуги.
По заявлению услугополучателя возможно оформление справки о постановке на учет в произвольной форме либо отказ в оказании государственной услуги."
Недвижимость,Выдача акта на землю,https://egov.kz/cms/ru/online-services/for_citizen/pass616_msh,"Результат оказания услуги
Акт на земельный участок, либо кадастровый паспорт объекта недвижимости, либо мотивированный отказ в оказании государственной услуги.
В случае, если услугополучатель не обратился за результатом услуги в указанный срок, услугодатель обеспечивает их хранение в течение одного месяца для выдачи, после чего передает их для дальнейшего хранения в отдел систематизации и хранения документов (технический архив)."
Недвижимость,Выдача дубликатов документов на недвижимость,https://egov.kz/cms/ru/online-services/for_citizen/pass066_mu,"Результат оказания услуги
Дубликат правоустанавливающего документа на недвижимое имущество либо мотивированный ответ об отказе."
Недвижимость,Выдача жилищных сертификатов,https://egov.kz/cms/ru/online-services/for_citizen/pass669_miir,"Результат оказания услуги
Ре­ше­ние об одоб­ре­нии вы­да­чи жи­лищ­но­го сер­ти­фи­ка­та с ука­за­ни­ем ви­да, сум­мы или мо­ти­ви­ро­ван­ный от­вет об от­ка­зе в ока­за­нии го­су­дар­ствен­ной услу­ги."
Недвижимость,"Выдача копий документов регистрационного дела, заверенных регистрирующим органом, включая план (схемы) объектов недвижимости",https://egov.kz/cms/ru/online-services/for_citizen/pass074_mu,"Результат оказания услуги
Копии документов регистрационного дела, заверенных регистрирующим органом, включая план (схемы) объектов недвижимости."
Недвижимость,Выдача технических условий на присоединение к газораспределительным сетям,https://egov.kz/cms/ru/online-services/for_citizen/passGAZ01,"Результат оказания услуги
Документ о технических условиях или мотивированный отказ."
Недвижимость,Выдача техпаспорта недвижимости,https://egov.kz/cms/ru/online-services/for_citizen/pass067_mu,"Результат оказания услуги
1. К Государственной корпорации - акт приемки объекта недвижимости в эксплуатацию с отметкой о внесении в информационную систему правового кадастра идентификационных и технических сведений зданий, сооружений и (или) их составляющих на вновь созданное недвижимое имущество. Заключение об установлении расхождений идентификационных и технических сведений вновь созданного недвижимого имущества с приложением технического паспорта или письменный мотивированный ответ об отказе в оказании государственной услуги.
2. На портал - услугополучателю в личный кабинет направляется уведомление о готовности результата государственной услуги с указанием места и даты получения. Электронный технический паспорт на квартиры, комнату в общежитиях, индивидуальные гаражи и дачные строения. Заключение об установлении расхождений идентификационных и технических сведений вновь созданного недвижимого имущества по итогам проведенного технического обследования оформляется по форме. При этом Заключение об установлении расхождений идентификационных и технических сведений вновь созданного недвижимого имущества по итогам проведенного технического обследования с приложением технического паспорта недвижимого имущества) выдается услугодателем документа подтверждающего доплату за выдачу заключения с приложением технического паспорта недвижимого имущества, а при заключении договора на оказание услуг с юридическими лицами, дополнительно предоставляется подписанный им акт выполненных работ."
Недвижимость,Государственная регистрация объекта кондоминиума,https://egov.kz/cms/ru/online-services/for_citizen/pass110-1_mu,"Результат оказания услуги
К услугодателю на бумажном/сканированном носителе - уведомление о государственной регистрации объекта кондоминиума с приложением о расчете долей или приостановлении регистрации либо письменный мотивированный ответ об отказе в оказании государственной услуги.
На портале - услугополучателю в личный кабинет направляется уведомление о результате оказания услуги, подписанное ЭЦП услугодателя. При положительном результате к уведомлению прилагается расчет долей"
Недвижимость,Дубликат кадастрового паспорта (техпаспорт),https://egov.kz/cms/ru/online-services/for_citizen/pass068_mu,"Результат оказания услуги
Дубликат кадастрового паспорта объекта недвижимости.
На портал - услугополучателю в личный кабинет направляется уведомление о готовности результата государственной услуги с указанием места и даты получения."
Недвижимость,Заключение договоров на предоставление коммунальных услуг при смене собственника недвижимости,https://egov.kz/cms/ru/online-services/for_citizen/pass_city,"Результат оказания услуги
Договор на оказание коммунальных услуг либо мотивированный отказ."
Недвижимость,Корректировка в базе данных о недвижимости,https://egov.kz/cms/ru/online-services/for_citizen/pass_mu_P3-20,"Результат оказания услуги
К Государственной корпорации – уведомление о результате исполнения заявки/мотивированном отказе, а также sms-сообщения о завершении исполнения заявки в случае регистрации и подключения абонентского номера услугополучателя в базе мобильных граждан, предоставленного оператором сотовой связи, к учетной записи ПЭП.
На портал - услугополучателю в личный кабинет направляется электронное уведомление о проведенных исправлениях ошибочных сведений объекта недвижимости в ГБД РН, либо об отказе в оказании услуги, а также sms-сообщения о завершении исполнения заявки в случае регистрации и подключения абонентского номера услугополучателя в базе мобильных граждан, предоставленного оператором сотовой связи, к учетной записи ПЭП."
Недвижимость,Корректировка сведений земельного кадастра,https://egov.kz/cms/ru/online-services/for_citizen/passP4-18_msh,"Результат оказания услуги
Уведомление об актуализации сведении либо мотивированный ответ об отказе."
Недвижимость,Оценка кадастровой стоимости земли,https://egov.kz/cms/ru/online-services/for_citizen/pass611_msh,"Результат оказания услуги
Акт об определении кадастровой (оценочной) стоимости земельного участка, либо мотивированный ответ об отказе в оказании государственной услуги.
В случае, если услугополучатель не обратился за результатом услуги в указанный срок, услугодатель обеспечивает их хранение в течение одного месяца для выдачи, после чего передает их для дальнейшего хранения в отдел систематизации и хранения документов (технический архив)."
Недвижимость,Получение жилпомощи,https://egov.kz/cms/ru/online-services/for_citizen/pass672_mir,"Результат оказания услуги
Уведомление о назначении жилищной помощи либо мотивированный ответ об отказе в оказании государственной услуги."
Недвижимость,Постановка на арендное жилье из госфонда (акимата),https://egov.kz/cms/ru/online-services/for_citizen/pass673_mir,"Результат оказания услуги
Уведомление о постановке на учет с указанием порядкового номера очереди и sms-оповещение на мобильный телефон либо мотивированный ответ об отказе в оказании государственной услуги."
Недвижимость,Предоставление сведений о качественном состоянии земельного участка,https://egov.kz/cms/ru/online-services/for_citizen/pass622_msh,"Результат оказания услуги
Сведения о качественном состоянии земельного участка, либо мотивированный отказ в оказании государственной услуги."
Недвижимость,Приватизация жилищ из государственного жилищного фонда,https://egov.kz/cms/ru/online-services/for_citizen/pass674-1_mir,"Результат оказания услуги
1) При приватизации жилищ из коммунального жилищного фонда, из жилищного фонда коммунального государственного учреждения либо коммунального государственного предприятия:
- решение жилищной комиссии о приватизации жилища либо мотивированный отказ;
- договор о приватизации жилища между услугодателем и услугополучателем.
2) При приватизации жилищ из жилищного фонда республиканского государственного учреждения либо республиканского государственного предприятия:
- решение жилищной комиссии о приватизации жилища либо мотивированный отказ;
-передаточный акт;
- договор о приватизации жилища между услугодателем и услугополучателем."
Недвижимость,Приобретение земли находящейся в госсобственности,https://egov.kz/cms/ru/online-services/for_citizen/625-2_msh,"Результат оказания услуги
Решение услугодателя о предоставлении права на земельный участок и заключение договора купли-продажи либо временного (краткосрочного, долгосрочного) возмездного (безвозмездного) землепользования либо мотивированный отказ в оказании государственной услуги."
Недвижимость,"Приобретение прав на земельный участок в черте города республиканского значения, столицы, городов областного и районного значения",https://egov.kz/cms/ru/online-services/for_citizen/passcom06_msh,"Результат оказания услуги
Решение услугодателя о предоставлении права на земельный участок с приложением схемы отвода земельного участка.
Договор купли-продажи земельного участка или временного (краткосрочного, долгосрочного) возмездного (безвозмездного) землепользования (аренды).
Архитектурно-планировочное задание.
Технические условия на подключение к инженерным сетям.
Либо мотивированный отказ в оказании государственной услуги."
Недвижимость,Приобретение прав на земельный участок путем организации и проведения торгов (аукционов) по продаже земельных участков или права аренды земельных участков в электронном виде (при выборе готовой площадки),https://egov.kz/cms/ru/online-services/for_citizen/passcom05_msh,"Результат оказания услуги
Договор купли-продажи земельного участка и/ или временного (краткосрочного, долгосрочного) возмездного (безвозмездного) землепользования либо мотивированный отказ.
Технические условия на подключение к инженерным сетям (при необходимости).
Кадастровый паспорт объекта недвижимости либо мотивированный отказ в оказании государственной услуги.
Уведомление о произведенной государственной регистрации права на земельный участок либо мотивированный отказ в оказании государственной услуги."
Недвижимость,Приобретение прав на земельный участок путем организации и проведения торгов (аукционов) по продаже земельных участков или права аренды земельных участков в электронном виде при подаче предложения о вынесении свободного земельного участка на торги (аукцион),https://egov.kz/cms/ru/online-services/for_citizen/passcom04_msh,"Результат оказания услуги
Договор купли-продажи земельного участка и/ или временного (краткосрочного, долгосрочного) возмездного (безвозмездного) землепользования либо мотивированный отказ.
Технические условия на подключение к инженерным сетям (при необходимости).
Кадастровый паспорт объекта недвижимости либо мотивированный отказ в оказании государственной услуги.
Уведомление о произведенной государственной регистрации права на земельный участок либо мотивированный отказ в оказании государственной услуги."
